Row Labels,Count of ActivityDate,Average of VeryActiveMinutes,Average of FairlyActiveMinutes
1503960366,31,38.70967742,19.16129032
1624580081,31,8.677419355,5.806451613
1644430081,30,9.566666667,21.36666667
1844505072,31,0.129032258,1.290322581
1927972279,31,1.322580645,0.774193548
2022484408,31,36.29032258,19.35483871
2026352035,31,0.096774194,0.258064516
2320127002,31,1.35483871,2.580645161
2347167796,18,13.5,20.55555556
2873212765,31,14.09677419,6.129032258
3372868164,20,9.15,4.1
3977333714,30,18.9,61.26666667
4020332650,31,5.193548387,5.35483871
4057192912,4,0.75,1.5
4319703577,31,3.580645161,12.32258065
4388161847,31,23.16129032,20.35483871
4445114986,31,6.612903226,1.741935484
4558609924,31,10.38709677,13.70967742
4702921684,31,5.129032258,26.03225806
5553957443,31,23.41935484,13
5577150313,30,87.33333333,29.83333333
6117666160,28,1.571428571,2.035714286
6290855005,29,2.75862069,3.793103448
6775888955,26,11,14.80769231
6962181067,31,22.80645161,18.51612903
7007744171,26,31.03846154,16.26923077
7086361926,31,42.58064516,25.35483871
8053475328,31,85.16129032,9.580645161
8253242879,19,20.52631579,14.31578947
8378563200,31,58.67741935,10.25806452
8583815059,31,9.677419355,22.19354839
8792009665,29,0.965517241,4.034482759
8877689391,31,66.06451613,9.935483871
Grand Total,940,21.16489362,13.56489362
